session_id,customer_id,product_id,device_id,date_id,quantity,abandon_date,abandon_time,is_abandoned
1,979,20,5,252,4,2023-07-13,2025-12-18 01:09:01,1
2,373,12,3,353,2,2023-11-07,2025-12-18 13:40:54,1
3,32,3,4,286,2,2023-03-03,2025-12-18 20:37:31,1
4,631,25,1,365,2,,,0
5,127,9,3,163,3,2023-07-22,2025-12-18 06:41:51,1
6,166,8,1,111,5,2023-10-06,2025-12-18 19:22:30,1
7,798,25,5,365,5,2023-06-27,2025-12-18 23:29:46,1
8,21,19,4,5,2,,,0
9,471,21,3,141,4,,,0
10,729,7,5,337,3,2023-07-29,2025-12-18 23:02:19,1
11,814,11,3,129,3,2023-06-03,2025-12-18 05:29:03,1
12,511,24,3,37,1,,,0
13,3,17,4,85,1,,,0
14,530,2,5,166,2,2023-06-23,2025-12-18 07:07:51,1
15,272,20,4,69,4,,,0
16,4,13,1,258,3,2023-01-11,2025-12-18 03:04:03,1
17,124,14,1,66,1,,,0
18,586,25,4,249,5,,,0
19,160,4,5,333,5,,,0
20,234,25,1,66,3,2023-09-24,2025-12-18 03:02:52,1
21,979,2,1,112,1,2023-07-25,2025-12-18 09:29:54,1
22,61,7,4,118,5,2023-03-14,2025-12-18 00:11:27,1
23,441,19,1,274,1,,,0
24,183,4,3,222,5,,,0
25,526,7,4,244,2,2023-07-20,2025-12-18 09:05:49,1
26,974,8,1,302,5,2023-08-12,2025-12-18 14:46:35,1
27,626,10,5,197,3,2023-05-22,2025-12-18 21:37:11,1
28,508,7,4,187,4,,,0
29,395,24,4,259,4,,,0
30,713,9,5,157,4,,,0
31,251,4,2,357,4,2023-05-01,2025-12-18 23:32:02,1
32,298,18,3,282,2,2023-10-13,2025-12-18 15:25:25,1
33,485,6,2,121,4,2023-04-05,2025-12-18 01:41:20,1
34,622,14,5,81,4,2023-04-21,2025-12-18 01:49:51,1
35,214,25,5,300,1,2023-03-28,2025-12-18 02:05:19,1
36,350,5,5,35,4,,,0
